,Competition,Matchday,Date,Home Team,Away Team,Result,Position,Goals,Minutes Played
0,International Friendlies,International Friendlies,"Mar 1, 2006",Croatia,Argentina,3:2,RM,1,90'
1,World Cup 2006,Group C,"Jun 16, 2006",Argentina,Serbia-Mont.,6:0,RM,1,16'
2,International Friendlies,International Friendlies,"Jun 5, 2007",Algeria,Argentina,3:4,RW,2,90'
3,Copa América 2007,Quarter-Finals,"Jul 9, 2007",Argentina,Peru,4:0,SS,1,90'
4,Copa América 2007,Semi-Finals,"Jul 12, 2007",Mexico,Argentina,0:3,SS,1,90'
5,World Cup qualification South America,Group A,"Oct 17, 2007",Venezuela,Argentina,0:2,SS,1,90'
6,World Cup qualification South America,Group A,"Nov 21, 2007",Colombia,Argentina,2:1,SS,1,90'
7,International Friendlies,International Friendlies,"Jun 5, 2008",Mexico,Argentina,1:4,AM,1,85'
8,World Cup qualification South America,Group A,"Oct 11, 2008",Argentina,Uruguay,2:1,RM,1,89'
9,International Friendlies,International Friendlies,"Feb 11, 2009",France,Argentina,0:2,SS,1,90'
10,World Cup qualification South America,Group A,"Mar 28, 2009",Argentina,Venezuela,4:0,CF,1,90'
11,International Friendlies,International Friendlies,"Nov 14, 2009",Spain,Argentina,2:1,SS,1,84'
12,International Friendlies,International Friendlies,"Sep 7, 2010",Argentina,Spain,4:1,RW,1,86'
13,International Friendlies,International Friendlies,"Nov 17, 2010",Argentina,Brazil,1:0,RW,1,90'
14,International Friendlies,International Friendlies,"Feb 9, 2011",Portugal,Argentina,1:2,CF,1,90'
15,International Friendlies,International Friendlies,"Jun 20, 2011",Argentina,Albania,4:0,CF,1,90'
16,World Cup qualification South America,Group A,"Oct 8, 2011",Argentina,Chile,4:1,SS,1,90'
17,World Cup qualification South America,Group A,"Nov 15, 2011",Colombia,Argentina,1:2,SS,1,90'
18,International Friendlies,International Friendlies,"Feb 29, 2012",Switzerland,Argentina,1:3,SS,3,90'
19,World Cup qualification South America,Group A,"Jun 3, 2012",Argentina,Ecuador,4:0,RW,1,90'
20,International Friendlies,International Friendlies,"Jun 9, 2012",Argentina,Brazil,4:3,SS,3,90'
21,International Friendlies,International Friendlies,"Aug 15, 2012",Germany,Argentina,1:3,SS,1,90'
22,World Cup qualification South America,Group A,"Sep 8, 2012",Argentina,Paraguay,3:1,SS,1,90'
23,World Cup qualification South America,Group A,"Oct 13, 2012",Argentina,Uruguay,3:0,RW,2,90'
24,World Cup qualification South America,Group A,"Oct 17, 2012",Chile,Argentina,1:2,RW,1,90'
25,World Cup qualification South America,Group A,"Mar 23, 2013",Argentina,Venezuela,3:0,RW,1,90'
26,International Friendlies,International Friendlies,"Jun 15, 2013",Guatemala,Argentina,0:4,SS,3,68'
